old_index,j5_branch,j5_shifted,t_close,t_open,gripper_flips,pre_grasp_flips,t_cut,orig_seconds,clean_seconds,orig_actions,clean_actions,j5_shift_rad,video_frames,video_fps,decision,new_index,sha256_parquet
69,neg,False,10.399999618530273,17.866666793823242,4,0,24.866666793823242,74.233,24.867,2228,747,,"{'observation.images.chest': 747, 'observation.images.wrist_right': 747}",30,keep,19,f65238ad4e18334e287ea9218bbaef4120f0b48941e56d626a04f0fae842da21
70,neg,False,15.666666984558105,27.600000381469727,4,0,34.599998474121094,63.933,34.6,1919,1039,,"{'observation.images.chest': 1039, 'observation.images.wrist_right': 1039}",30,keep,20,b3c3d54a8decedca7d22e1cf469632e2262385a102f96130af9840bc45335e41
71,neg,False,12.600000381469727,20.53333282470703,4,0,27.53333282470703,57.6,27.533,1729,827,,"{'observation.images.chest': 827, 'observation.images.wrist_right': 827}",30,keep,21,8fe8c37196c93d177cf1b753038de1c414679cdf8b99536277ae7bcdbe69e286
72,neg,False,14.266666412353516,24.266666412353516,4,0,31.266666412353516,62.767,31.267,1884,939,,"{'observation.images.chest': 939, 'observation.images.wrist_right': 939}",30,keep,22,a835a43787b3139f80505dee7e3f38a0ed4f953ee94e6ea526314a8330a575ac
73,neg,False,15.866666793823242,28.066667556762695,4,0,35.06666564941406,64.167,35.067,1926,1053,,"{'observation.images.chest': 1053, 'observation.images.wrist_right': 1053}",30,keep,23,520705ad469b26de0b0ee6b9dfb296a8103f04268c5052730a0fca5e05da1912
74,neg,False,24.933332443237305,39.400001525878906,4,0,46.400001525878906,93.733,46.4,2813,1393,,"{'observation.images.chest': 1393, 'observation.images.wrist_right': 1393}",30,keep,24,95abf4c8f3fdf3b8040f279438b4c1bc998201f8f52eb5185bda19ebd24dc817
75,neg,False,15.800000190734863,27.399999618530273,4,0,34.36666488647461,67.633,34.367,2030,1032,,"{'observation.images.chest': 1032, 'observation.images.wrist_right': 1032}",30,keep,25,89fffa1b473f7a2359793078967ffc02e497a8322d805dce4d0043a2f30048a7
76,neg,False,20.066667556762695,29.266666412353516,4,0,36.266666412353516,68.633,36.267,2060,1089,,"{'observation.images.chest': 1089, 'observation.images.wrist_right': 1089}",30,keep,26,57df8f45fbb841a4c3b40a0f75df776fcac89287ed94d837ad5ca53ab3e3581f
77,neg,False,26.399999618530273,36.53333282470703,4,0,43.53333282470703,82.9,43.533,2488,1307,,"{'observation.images.chest': 1307, 'observation.images.wrist_right': 1307}",30,keep,27,3c28d5b31cd3fd06998e48878c030ac37e6926d3c467c98d82fd027508507767
78,neg,False,21.399999618530273,33.266666412353516,4,0,40.266666412353516,71.367,40.267,2142,1209,,"{'observation.images.chest': 1209, 'observation.images.wrist_right': 1209}",30,keep,28,e7e9cc08c8f88d4f398b926f1c5bf4802e0e1b4c95ba49d5133a70f4f3c8774d
79,neg,False,21.733333587646484,34.266666412353516,4,0,41.266666412353516,76.067,41.267,2283,1239,,"{'observation.images.chest': 1239, 'observation.images.wrist_right': 1239}",30,keep,29,eef583b494aceea30ab86d15698364c8e8ab60a34baa5a9d9edede98322ca30c
80,neg,False,19.733333587646484,28.066667556762695,4,0,35.06666564941406,74.2,35.067,2227,1053,,"{'observation.images.chest': 1053, 'observation.images.wrist_right': 1053}",30,keep,30,d717584a9f1ae3f7d90aeea89474d03121482d7f8c24d1066103d57e2a6f7bf9
81,neg,False,8.333333015441895,18.266666412353516,4,0,25.266666412353516,51.6,25.267,1549,759,,"{'observation.images.chest': 759, 'observation.images.wrist_right': 759}",30,keep,31,e74199715d8c53c737862ca594ba9400e5a042a5a7001868924a3f28eeecb67d
82,neg,False,7.733333110809326,19.866666793823242,4,0,26.866666793823242,52.067,26.867,1563,807,,"{'observation.images.chest': 807, 'observation.images.wrist_right': 807}",30,keep,32,aa5d91a86f337cf69f2334f533e4e5a3a321e7c1b3642892eb4cfa126eb29678
83,neg,False,24.933332443237305,36.20000076293945,4,0,43.20000076293945,74.333,43.2,2231,1297,,"{'observation.images.chest': 1297, 'observation.images.wrist_right': 1297}",30,keep,33,199865804983561914a2f9ecb2f802cb9a4ea1dc4d131f887907fdc4dc854c5a
84,neg,False,21.0,30.799999237060547,4,0,37.79999923706055,64.6,37.8,1939,1135,,"{'observation.images.chest': 1135, 'observation.images.wrist_right': 1135}",30,keep,34,0be11dcb7391f570ad70951acbc2055c979d1790fb26fc5b7cc41acfe6bbad34
85,neg,False,17.866666793823242,24.133333206176758,4,0,31.133333206176758,59.333,31.133,1781,935,,"{'observation.images.chest': 935, 'observation.images.wrist_right': 935}",30,keep,35,762a04f9b44531e7b2d6b2b7f1d4873784828db3bfccfdeaac7265a59a503b16
